All ingredients in cryoprotective solution,DMSO usage,Cooling rate,Viability,Recovery,Doubling time,Comments about method,Comments about results,Source (DOI link),Protective protein type,Protective protein concentration,Non-reducing sugar type,Non-reducing sugar concentration,PEG weight,PEG concentration,Alternative CPA type,Alternative CPA concentration,Basal medium,Source
E8 medium + 50% KnockOut Serum Replacement + 5% DMSO + 10 μM ROCK Inhibitor,5%,Direct placement at -80°C (uncontrolled rate),60%,Not mentioned,Not mentioned,"Conventional freezing, direct -80°C, 30 mL CryoMACS bags","Lowest viability in bags (60% membrane, 23% metabolic)",https://doi.org/10.1002/btpr.70019,,,,,,,,,,
FBS + 10% DMSO,10%,"-1°C/min to -80°C (CoolCell container), then transferred to liquid nitrogen",50%,Not mentioned ,Not mentioned ,"HDFs cryopreserved in FBS + 10% DMSO, -1°C/min in CoolCell, stored in liquid nitrogen for 1 or 3 months, thawed at 37°C, centrifuged (5000 rpm, 5 min) before seeding","High viability (~50–65%), live cell numbers increase by 0.3–0.5 × 10^5 by day 7; good attachment; retains morphology; highest Ki67 (97.3% at 3 months), Col-1 (100%) expression",https://doi.org/10.1186/s12860-024-00519-2,,,,,,,,,,
FBS + 10% DMSO,10%,"-1°C/min to -80°C (CoolCell container), then transferred to liquid nitrogen",35%,Not mentioned ,Not mentioned ,"HDFs cryopreserved in HPL + 10% DMSO, -1°C/min in CoolCell, stored in liquid nitrogen for 1 or 3 months, thawed at 37°C, directly seeded","Moderate viability (~30–40%), lower live cell numbers (1.5–3.5 × 10^5); clumping observed; retains morphology; lower Col-1 (~80%), Ki67 (~85%) expression",https://doi.org/10.1186/s12860-024-00519-2,,,,,,,,,,
HPL + 10% DMSO,10%,"-1°C/min to -80°C (CoolCell container), then transferred to liquid nitrogen",30%,Not mentioned ,Not mentioned ,"HPL cryopreserved in HPL + 10% DMSO, -1°C/min in CoolCell, stored in liquid nitrogen for 1 or 3 months, thawed at 37°C, centrifuged (5000 rpm, 5 min) before seeding","Low viability (~25–35%), lower live cell numbers (1.0–3.0 × 10^5); clumping; retains morphology; lower Col-1 (~80%), Ki67 (~85%) expression",https://doi.org/10.1186/s12860-024-00519-2,,,,,,,,,,
HPL + 10% DMSO,10%,"-1°C/min to -80°C (CoolCell container), then transferred to liquid nitrogen",25%,Not mentioned ,Not mentioned ,"HDFs cryopreserved in CryoStor, -1°C/min in CoolCell, stored in liquid nitrogen for 1 or 3 months, thawed at 37°C, directly seeded","Lowest viability (~20–30%), lowest live cell numbers (1.0–2.5 × 10^5); poor attachment; retains morphology; lowest Col-1 (~70%), Ki67 (~80%) expression",https://doi.org/10.1186/s12860-024-00519-2,,,,,,,,,,
FCS + 10% DMSO,10%,"-1°C/min to -180°C (slow freezing in freezing container), stored in liquid nitrogen",48.50%,Not mentioned ,Not mentioned,"ENSdN cryopreserved in 20% FCS + 70% culture medium + 10% DMSO, slow freezing at -1°C/min in a freezing container, stored in liquid nitrogen for 2 weeks, thawed at 37°C in culture medium",Viability  ~48.5% (dissociated cells); significant upregulation of Nanog protein; significant increase in ß-TubulinIII mRNA; calcium response not tested,https://doi.org/10.3389/fcell.2022.832377,,,,,,,,,,
Culture medium + 10% DMSO,10%,"-1°C/min to -180°C (slow freezing in freezing container), stored in liquid nitrogen",59.50%,Not mentioned ,Not mentioned,"ENSdN cryopreserved in 90% culture medium + 10% DMSO, slow freezing at -1°C/min in a freezing container, stored in liquid nitrogen for 2 weeks, thawed at 37°C in culture medium","Viability ~59.5% (dissociated cells); significant upregulation of PGP9.5, ß-TubulinIII, GFAP, S100, p75, Nestin, Sox2 mRNA; significant upregulation of Oct4, S100 protein; calcium response not tested",https://doi.org/10.3389/fcell.2022.832377,,,,,,,,,,
5% DMSO + plasma replacement fluid,5%,"Controlled rate freezing (not specified), stored at ≤–150°C in vapor phase of liquid nitrogen",>80%,Neutrophil: 67% (median 22 days); Platelet: 50% (median 21 days),Not Mentioned,"HID HSCs cryopreserved in 5% DMSO + plasma, controlled rate freezing, stored ≤–150°C vapor phase LN2 (median 11 days), thawed at 37°C for 5 min, infused immediately","No significant difference in engraftment rates/times; 1-year OS 50% (vs. 41%, p=0.56)",https://doi.org/10.21873/invivo.13565,,,,,,,,,,
Not specified (fresh HSCs),0%,"No freezing (fresh, stored/transported at 2-8°C or room temperature)",>80%,Neutrophil: 84% (median 22 days); Platelet: 69% (median 19 days,Not Mentioned,"HID fresh HSCs (PBSCs), stored/transported at 2-8°C or room temp, infused within 72 h",Baseline for HID fresh; engraftment rates 84%/69%; 1-year OS 41%,https://doi.org/10.21873/invivo.13565,,,,,,,,,,
5% trehalose + 2.5% dextran in DMEM,0%,"Slow freezing (rate not specified, stored at -195°C in liquid nitrogen)","750 mM: ~80% (day 3)
","750 mM trehalose: Significantly higher than 0 mM (Fig. 5d, no exact numbers)",Not mentioned ,"Trehalose delivered via ultrasound + microbubbles (UMT) at 0.25 MPa, 5 min exposure; cells cryopreserved for ≥4 weeks
Standard MSC cryopreservation protocol; no UMT treatment for this cryosoup","Effective CPA, maintains viability and pluripotency; higher trehalose concentrations (250–750 mM) optimal
Higher percentage of dead cells at 0 mM trehalose compared to trehalose + dextran; DMSO is cytotoxic",https://doi.org/10.1038/s44172-024-00239-0,,,,,,,,,,
"1M DMSO, 1M acetamide, 3M Propylene glycol in PBS",20%,-4.9°C/min    ,77%,Not mentioned ,Not mentioned ,"MSC monolayers were first cultured in Equilibrium solution for 10 mins before vitrification. Vitrification solution added for 5 mins, removed by aspiration. Warmed by added warm rewarming solution. Trypan blue exclusion for quantitative viability after dispersal. Annexin V-FITC / PI staining to assess apoptosis vs necrosis. Cell Counting Kit-8 (CCK-8) for cell proliferation (read at 450 nm).","COOH-PLL (polyampholyte) strongly stabilised the glassy state, reduced devitrification and cytotoxicity, and inhibited apoptosis. P-VS (EG + sucrose + 10% COOH-PLL) produced the best outcomes: lowest apoptosis (Annexin V), highest viability after warming and 1 day culture, and preserved proliferation and osteogenic/adipogenic differentiation. Slow vitrification (even at 4.9 °C/min) became feasible with COOH-PLL — advantage for fragile 2D constructs because it avoids mechanical stresses of direct immersion.",DOI: 10.1021/acsbiomaterials.6b00150,Use in cell culture and differentation media,Not used,Not used ,Not used ,Not used ,,,Not used ,PBS ,
"6.5M EG, 0.5M Sucrose in PBS",0%,-4.9°C/min    ,50%,Not mentioned ,Not mentioned ,,,DOI: 10.1021/acsbiomaterials.6b00150,Use in cell culture and differentation media,Not used,Not used ,Not used ,Not used ,,,6.5M,PBS ,
"6.5M EG, 10% (wt) COOH-PLL, 0.5M Sucrose in PBS",0%,-4.9°C/min    ,95%,Not mentioned ,Not mentioned ,,,DOI: 10.1021/acsbiomaterials.6b00150,Use in cell culture and differentation media,Not used,Not used ,Not used ,Not used ,,,6.5M,PBS ,
"1M DMSO, 1M acetamide, 3M Propylene glycol in PBS",20%,-10.8°C/min    ,85%,Not mentioned ,Not mentioned ,,,DOI: 10.1021/acsbiomaterials.6b00150,Use in cell culture and differentation media,Not used,Not used ,Not used ,Not used ,,,Not used ,PBS ,
"6.5M EG, 0.5M Sucrose in PBS",0%,-10.8°C/min    ,95%,Not mentioned ,Not mentioned ,,,DOI: 10.1021/acsbiomaterials.6b00150,Use in cell culture and differentation media,Not used,Not used ,Not used ,Not used ,,,6.5M,PBS ,
"6.5M EG, 10% (wt) COOH-PLL, 0.5M Sucrose in PBS",0%,-10.8°C/min    ,100%,Not mentioned ,Not mentioned ,,,DOI: 10.1021/acsbiomaterials.6b00150,Use in cell culture and differentation media,Not used,Not used ,Not used ,Not used ,,,6.5M,PBS ,
"1M DMSO, 1M acetamide, 3M Propylene glycol in PBS",20%,-20.4°C/min    ,85%,Not mentioned ,Not mentioned ,,,DOI: 10.1021/acsbiomaterials.6b00150,Use in cell culture and differentation media,Not used,Not used ,Not used ,Not used ,,,Not used ,PBS ,
"6.5M EG, 0.5M Sucrose in PBS",0%,-20.4°C/min    ,98%,Not mentioned ,Not mentioned ,,,DOI: 10.1021/acsbiomaterials.6b00150,Use in cell culture and differentation media,Not used,Not used ,Not used ,Not used ,,,6.5M,PBS ,
"6.5M EG, 10% (wt) COOH-PLL, 0.5M Sucrose in PBS",0%,-20.4°C/min    ,100%,Not mentioned ,Not mentioned ,,,DOI: 10.1021/acsbiomaterials.6b00150,Use in cell culture and differentation media,Not used,Not used ,Not used ,Not used ,,,6.5M,PBS ,
"1M DMSO, 1M acetamide, 3M Propylene glycol in PBS",20%,-34.5°C/min    ,85%,Not mentioned ,Not mentioned ,,,DOI: 10.1021/acsbiomaterials.6b00150,Use in cell culture and differentation media,Not used,Not used ,Not used ,Not used ,,,Not used ,PBS ,
"6.5M EG, 0.5M Sucrose in PBS",0%,-34.5°C/min    ,98%,Not mentioned ,Not mentioned ,,,DOI: 10.1021/acsbiomaterials.6b00150,Use in cell culture and differentation media,Not used,Not used ,Not used ,Not used ,,,6.5M,PBS ,
"6.5M EG, 10% (wt) COOH-PLL, 0.5M Sucrose in PBS",0%,-34.5°C/min    ,100%,Not mentioned ,Not mentioned ,,,DOI: 10.1021/acsbiomaterials.6b00150,Use in cell culture and differentation media,Not used,Not used ,Not used ,Not used ,,,6.5M,PBS ,
"1M DMSO, 1M acetamide, 3M Propylene glycol in PBS",20%,-3900°C/min    ,85%,Not mentioned ,Not mentioned ,,,DOI: 10.1021/acsbiomaterials.6b00150,Use in cell culture and differentation media,Not used,Not used ,Not used ,Not used ,,,Not used ,PBS ,
"6.5M EG, 0.5M Sucrose in PBS",0%,-3900°C/min    ,98%,Not mentioned ,Not mentioned ,,,DOI: 10.1021/acsbiomaterials.6b00150,Use in cell culture and differentation media,Not used,Not used ,Not used ,Not used ,,,6.5M,PBS ,
"6.5M EG, 10% (wt) COOH-PLL, 0.5M Sucrose in PBS",0%,-3900°C/min    ,100%,Not mentioned ,Not mentioned ,,,DOI: 10.1021/acsbiomaterials.6b00150,Use in cell culture and differentation media,Not used,Not used ,Not used ,Not used ,,,6.5M,PBS ,
"50 mM Sucrose in electroporation buffer (10mM K2HPO4, 10mM KH2PO4, 1mM MgCl2)",0%,Stored overnight at -80°C,5%,Not mentioned ,Not mentioned ,"8 pulses at 1.5 kV/cm field strength was used for electroporation. To achieve a physiological pH of 7.4, K2HPO4 and KH2PO4 were mixed in the ratio of 40.5 to 9.5Typhan blue exclusion and flow cytometry used for viability testing. ",400mM highest ,https://doi.org/10.1016/j.cryobiol.2019.10.002,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
"100 mM Sucrose in electroporation buffer (10mM K2HPO4, 10mM KH2PO4, 1mM MgCl2)",0%,Stored overnight at -80°C,17%,Not mentioned ,Not mentioned ,,cells were able to attach 24 h after thawing demonstrating characteristic shape and sugar-loaded vacuoles,https://doi.org/10.1016/j.cryobiol.2019.10.002,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
"150 mM Sucrose in electroporation buffer (10mM K2HPO4, 10mM KH2PO4, 1mM MgCl2)",0%,Stored overnight at -80°C,60%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2019.10.002,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
"400 mM Sucrose in electroporation buffer (10mM K2HPO4, 10mM KH2PO4, 1mM MgCl2)",0%,Stored overnight at -80°C,80%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2019.10.002,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
"50 mM Trehalose in electroporation buffer (10mM K2HPO4, 10mM KH2PO4, 1mM MgCl2)",0%,Stored overnight at -80°C,3%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2019.10.002,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
"100 mM Trehalose in electroporation buffer (10mM K2HPO4, 10mM KH2PO4, 1mM MgCl2)",0%,Stored overnight at -80°C,14%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2019.10.002,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
"150 mM Trehalose in electroporation buffer (10mM K2HPO4, 10mM KH2PO4, 1mM MgCl2)",0%,Stored overnight at -80°C,62%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2019.10.002,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
"400 mM Trehalose in electroporation buffer (10mM K2HPO4, 10mM KH2PO4, 1mM MgCl2)",0%,Stored overnight at -80°C,78%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2019.10.002,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
"50 mM Raffinose in electroporation buffer (10mM K2HPO4, 10mM KH2PO4, 1mM MgCl2)",0%,Stored overnight at -80°C,7%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2019.10.002,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
"100 mM Raffinose in electroporation buffer (10mM K2HPO4, 10mM KH2PO4, 1mM MgCl2)",0%,Stored overnight at -80°C,19%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2019.10.002,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
"150 mM Raffinose in electroporation buffer (10mM K2HPO4, 10mM KH2PO4, 1mM MgCl2)",0%,Stored overnight at -80°C,75%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2019.10.002,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
"400 mM RAffinose in electroporation buffer (10mM K2HPO4, 10mM KH2PO4, 1mM MgCl2)",0%,Stored overnight at -80°C,80%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2019.10.002,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
10% DMSO in culture medium (Knockout DMEM),10%,-1°C/min in alcohol bath to -80°C,Not reported ,15%,Not mentioned ,,,doi:10.4061/2011/981606,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
10% Ethylene Glycol (EG) in culture medium (Knockout DMEM),0%,-1°C/min in alcohol bath to -80°C,Not reported ,17%,Not mentioned ,,,doi:10.4061/2011/981606,Not used ,Not used ,Not used ,Not used ,Not used ,,,10%,Not used ,
10% propylene glycol (PEG) in culture medium (Knockout DMEM),0%,-1°C/min in alcohol bath to -80°C,Not reported ,10%,Not mentioned ,,,doi:10.4061/2011/981606,Not used ,Not used ,Not used ,Not used ,10%,Not reported ,,Not used ,Not used ,
10% glycerol in culture medium (Knockout DMEM),0%,-1°C/min in alcohol bath to -80°C,Not reported ,5%,Not mentioned ,,,doi:10.4061/2011/981606,Not used ,Not used ,Not used ,10%,Not used ,Not reported ,,Not used ,Not used ,
10% Ethylene Glycol (EG) in culture medium (Knockout DMEM) + 10 µM ROCK Inhibitor ,0%,-1°C/min in alcohol bath to -80°C,Not reported ,22%,Not mentioned ,,,doi:10.4061/2011/981606,Not used ,Not used ,Not used ,Not used ,Not used ,,,10%,Not used ,
10% DMSO in culture medium (Knockout DMEM) + Accutase ,10%,-1°C/min in alcohol bath to -80°C,Not reported ,44%,Not mentioned ,,,doi:10.4061/2011/981606,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
10% Ethylene Glycol (EG) in culture medium (Knockout DMEM) + Accutase,0%,-1°C/min in alcohol bath to -80°C,Not reported ,52%,Not mentioned ,,,doi:10.4061/2011/981606,Not used ,Not used ,Not used ,Not used ,Not used ,,,10%,Not used ,
10% propylene glycol (PEG) in culture medium (Knockout DMEM )+ Accutase,0%,-1°C/min in alcohol bath to -80°C,Not reported ,24%,Not mentioned ,,,doi:10.4061/2011/981606,Not used ,Not used ,Not used ,Not used ,10%,Not reported ,,Not used ,Not used ,
10% glycerol in culture medium (Knockout DMEM) + Accutase,0%,-1°C/min in alcohol bath to -80°C,Not reported ,18%,Not mentioned ,,,doi:10.4061/2011/981606,Not used ,Not used ,Not used ,10%,Not used ,Not reported ,,Not used ,Not used ,
10% Ethylene Glycol (EG) in culture medium (Knockout DMEM) + 10 µM ROCK Inhibitor + Accutase,0%,-1°C/min in alcohol bath to -80°C,Not reported ,12%,Not mentioned ,,,doi:10.4061/2011/981606,Not used ,Not used ,Not used ,Not used ,Not used ,,,10%,Not used ,
Complete culture medium ((HUXUC-90011),0%,-1 ◦C/min to −80 ◦C,2%,Not mentioned ,Not mentioned ,"8 pulses at 2.25 kV/cm field strength was used for electroporation. After cryopreservation, the cell suspension was replenished to 1 ml with the solution, incubated for 30 mins before cryopreservation. Live/Dead kit used for viability, with counting using ImageJ. ROS detection using 2,7-dichlorofluorescin diacetate. ","8% betaine showed best results, with viability comparable to DMSO. Lower ROS than DMSO.",https://doi.org/10.3390/ijms22147445,,,,,,,,,,
Complete culture medium + 2% betaine ,0%,-1 ◦C/min to −80 ◦C,18%,Not mentioned ,Not mentioned ,,,https://doi.org/10.3390/ijms22147445,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
Complete culture medium + 4% betaine ,0%,-1 ◦C/min to −80 ◦C,30%,Not mentioned ,Not mentioned ,,,https://doi.org/10.3390/ijms22147445,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
Complete culture medium + 6% betaine ,0%,-1 ◦C/min to −80 ◦C,78%,Not mentioned ,Not mentioned ,,,https://doi.org/10.3390/ijms22147445,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
Complete culture medium + 8% betaine ,0%,-1 ◦C/min to −80 ◦C,84%,Not mentioned ,Not mentioned ,,,https://doi.org/10.3390/ijms22147445,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
Complete culture medium + 10% betaine ,0%,-1 ◦C/min to −80 ◦C,40%,Not mentioned ,Not mentioned ,,,https://doi.org/10.3390/ijms22147445,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
Complete Minimum Essential Medium (MEM) + 10% DMSO,10%,-1 ◦C/min to −80 ◦C,74%,Not mentioned ,Number of cells doubled in approx 3 days ,Viability measured by trypan blue exclusion with Bürker chamber; adhesion/proliferation by LDH assay; phenotype by flow cytometry ,"Complete DMEM + 15% Glycerol Optimal: higher adhesion/proliferation vs. DMSO; higher CD184 (~97%), lower CD146; similar spreading (~1500 µm²); maintained fibroblastoid morphology/differentiation",doi:10.1038/s41598-024-65469-4,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
Complete Minimum Essential Medium (MEM) + 10% Glycerol,0%,-1 ◦C/min to −80 ◦C,62%,Not mentioned ,Number of cells doubled in approx 3 days ,,,doi:10.1038/s41598-024-65469-4,Not used ,Not used ,Not used ,10%,Not used ,,,Not used ,Not used ,
Complete Minimum Essential Medium (MEM) + 15% Glycerol,0%,-1 ◦C/min to −80 ◦C,70%,Not mentioned ,Number of cells doubled in approx 3 days ,,,doi:10.1038/s41598-024-65469-4,Not used ,Not used ,Not used ,15%,Not used ,,,Not used ,Not used ,
Complete Minimum Essential Medium (MEM) + 20% Glycerol,0%,-1 ◦C/min to −80 ◦C,58%,Not mentioned ,Number of cells doubled in approx 3 days ,,,doi:10.1038/s41598-024-65469-4,Not used ,Not used ,Not used ,20%,Not used ,,,Not used ,Not used ,
Complete DMEM + 10% DMSO,10%,-1 ◦C/min to −80 ◦C,76%,Not mentioned ,"Number of cells doubled in approx 3 days, before doubling again on day 4",,,doi:10.1038/s41598-024-65469-4,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
Complete DMEM + 10% Glycerol,0%,-1 ◦C/min to −80 ◦C,74%,Not mentioned ,"Number of cells doubled in approx 3 days, before doubling again on day 5",,,doi:10.1038/s41598-024-65469-4,Not used ,Not used ,Not used ,10%,Not used ,,,Not used ,Not used ,
Complete DMEM + 15% Glycerol,0%,-1 ◦C/min to −80 ◦C,78%,Not mentioned ,"Number of cells doubled in approx 3 days, before doubling again on day 6",,,doi:10.1038/s41598-024-65469-4,Not used ,Not used ,Not used ,15%,Not used ,,,Not used ,Not used ,
Complete DMEM + 20% Glycerol,0%,-1 ◦C/min to −80 ◦C,52%,Not mentioned ,"Number of cells doubled in approx 3 days, before doubling again on day 7",,,doi:10.1038/s41598-024-65469-4,Not used ,Not used ,Not used ,20%,Not used ,,,Not used ,Not used ,
Lactated Ringer Solution with 10% PEG,0%,directly to −80 ◦C for 24hrs then stored in liquid nitrogen ,60%,64%,Not mentioned ,Viability measured by trypan blue staining with OneCell Counter; recovery as viable cell ratio post-thaw,LR 3T 5D Optimal DMSO-free; similar viability/recovery/proliferation/differentiation/markers (>95% CD73/CD90/CD105+) to 10% DMSO; lower proliferation than lower PG conc.,10.1007/s10616-022-00541-3,Not used ,Not used ,Not used ,Not used ,10%,,,Not used ,Not used ,
Lactated Ringer Solution with 10% PEG + 3% Trehalose ,0%,directly to −80 ◦C for 24hrs then stored in liquid nitrogen ,82%,82%,Not mentioned ,,,10.1007/s10616-022-00541-3,Not used ,Not used ,Not used ,Not used ,10%,,,Not used ,Not used ,
Lactated Ringer Solution with 10% PEG + 3% Trehalose + 5% Dextran,0%,directly to −80 ◦C for 24hrs then stored in liquid nitrogen ,94%,96%,Not mentioned ,,,10.1007/s10616-022-00541-3,Not used ,Not used ,Not used ,Not used ,10%,,,Not used ,Not used ,
0 mg/ml storage protein 2 + 4% DMSO in ⍺-MEM,4%,-1 ◦C/min to −80 ◦C,76%,Not mentioned ,Approx. 2 days ,Viability measured by WST-1 assay (absorbance at 450 nm); proliferation by WST-1; ROS by DCFH-DA fluorescence; phenotype by flow cytometry,5 mg/mlOptimal; comparable to FBS; low ROS; maintained after 1 year; effective for UC/BM/AD-MSCs,DOI: 10.1002/term.2116,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
0 mg/ml storage protein 2 + 4% DMSO in ⍺-MEM,4%,-1 ◦C/min to −80 ◦C,78%,Not mentioned ,Approx. 2 days ,,,DOI: 10.1002/term.2116,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
0.1mg/ml storage protein 2 + 4% DMSO in ⍺-MEM,4%,-1 ◦C/min to −80 ◦C,82%,Not mentioned ,Approx. 2 days ,,,DOI: 10.1002/term.2116,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
0.2 mg/ml storage protein 2 + 4% DMSO in ⍺-MEM,4%,-1 ◦C/min to −80 ◦C,85%,Not mentioned ,Approx. 2 days ,,,DOI: 10.1002/term.2116,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
0.5 mg/ml storage protein 2 + 4% DMSO in ⍺-MEM,4%,-1 ◦C/min to −80 ◦C,90%,Not mentioned ,Approx. 2 days ,,,DOI: 10.1002/term.2116,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
1 mg/ml storage protein 2 + 4% DMSO in ⍺-MEM,4%,-1 ◦C/min to −80 ◦C,94%,Not mentioned ,Approx. 2 days ,,,DOI: 10.1002/term.2116,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
2 mg/ml storage protein 2 + 4% DMSO in ⍺-MEM,4%,-1 ◦C/min to −80 ◦C,95%,Not mentioned ,Approx. 2 days ,,,DOI: 10.1002/term.2116,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
5 mg/ml storage protein 2 + 4% DMSO in ⍺-MEM,4%,-1 ◦C/min to −80 ◦C,97%,Not mentioned ,Approx. 2 days ,,,DOI: 10.1002/term.2116,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
10 mg/ml storage protein 2 + 4% DMSO in ⍺-MEM,4%,-1 ◦C/min to −80 ◦C,98%,Not mentioned ,Approx. 2 days ,,,DOI: 10.1002/term.2116,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
7.5% COOH-PLL (mol fraction 0) in DMEM,0%,directly to −80 ◦C ,4%,Not mentioned ,38 hrs,"Viability measured post-thaw (trypan blue exclusion); proliferation by cell counting,",0.65 mol fraction best. maintained stemness and differentiation; membrane attachment mechanism differs from penetrating CPAs like DMSO; safer for clinical transplantation,10.1080/09205063.2013.771318,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
7.5% COOH-PLL (mol fraction 0.1) in DMEM,0%,directly to −80 ◦C ,20%,Not mentioned ,38 hrs,,,10.1080/09205063.2013.771318,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
7.5% COOH-PLL (mol fraction 0.2) in DMEM,0%,directly to −80 ◦C ,78%,Not mentioned ,38 hrs,,,10.1080/09205063.2013.771318,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
7.5% COOH-PLL (mol fraction 0.46) in DMEM,0%,directly to −80 ◦C ,86%,Not mentioned ,38 hrs,,,10.1080/09205063.2013.771318,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
7.5% COOH-PLL (mol fraction 0.65) in DMEM,0%,directly to −80 ◦C ,96%,Not mentioned ,38 hrs,,,10.1080/09205063.2013.771318,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
7.5% COOH-PLL (mol fraction 0.76) in DMEM,0%,directly to −80 ◦C ,92%,Not mentioned ,38 hrs,,,10.1080/09205063.2013.771318,Not used ,Not used ,Not used ,Not used ,Not used ,,,Not used ,Not used ,
DMEM+20% FBS+10% DMSO,10%,1◦C/min stored overnight at -80°C before storage at -150˚C,91% ± 7.0%,79% ± 3.0%,Not mentioned ,"load without NYC;  Used Annexin V-FITC & 7-AAD staining  for(viability/apoptosis), Flow cytometric analysis of cell surface markers","This study demonstrated an overall high cell integrity after LCPT-URC application (83–99%), with no significant differences between the CPs employed, DMSO or EG. However, a consistent cell viability was also obtained with treatments of DMSO or EG (68% and 51% respectively)",https://doi.org/10.1371/journal.pone.0220055 ,,,,,,,,,,
DMEM+0.5M trehalose,0%,105 ˚C/min to -150˚,99% ± 0.0%,26% ± 15%,Not mentioned ,loaded on NYC,,https://doi.org/10.1371/journal.pone.0220055 ,,,,,,,,,,
DMEM+ 10% DMSO ,0%,105 ˚C/min to -150˚,99% ± 0.6%,28% ± 2.0%,Not mentioned ,loaded on NYC,,https://doi.org/10.1371/journal.pone.0220055 ,,,,,,,,,,
DMEM+ 10% EG ,10%,105 ˚C/min to -150˚,83% ± 14%,68% ± 20%,Not mentioned ,loaded on NYC,,https://doi.org/10.1371/journal.pone.0220055 ,,,,,,,,,,
DMEM+0.5M trehalose+ 10% DMSO ,10%,105 ˚C/min to -150˚,99% ± 0.0%,48% ± 11%,Not mentioned ,loaded on NYC,,https://doi.org/10.1371/journal.pone.0220055 ,,,,,,,,,,
DMEM+0.5M trehalose + 10% EG,0%,105 ˚C/min to -150˚,87% ± 11%,51% ± 13%,Not mentioned ,loaded on NYC,,https://doi.org/10.1371/journal.pone.0220055 ,,,,,,,,,,
90% autologous plasma+10% DMSO,10%,"assume: -1°C/min to –90°C and then storgae in -150°C (only mentioned specifically,only mention –90°C and vapor phase liquid nitrogen)",>90%,Not mentioned ,Not mentioned , viability tested by trypan blue,"After thawing, the MSCs were more than 90% viable and sterile",10.3109/14653240903313966,,,,,,,,,,
culture medium + 20% FBS + 10% DMSO,10%,"-1°C/min to -40°C, then -10°C/min to -70°C,then rapid to -196°C",85 ± 2.2%,Not mentioned ,Not mentioned , viability tested by trypan blue,Overall results indicated that the best CPAs were both containing 10% (v/v) DMSO and showed a unsatisfactory viability for Trehalose group,10.1089/bio.2012.0005,,,,,,,,,,
